date,passengers
2023-01-02,41654
2023-01-03,33795
2023-01-04,18860
2023-01-05,23390
2023-01-06,39575
2023-01-09,29964
2023-01-10,29284
2023-01-11,40118
2023-01-12,24265
2023-01-13,34850
2023-01-16,22426
2023-01-17,39962
2023-01-18,32423
2023-01-19,29363
2023-01-20,34023
2023-01-23,26322
2023-01-24,19685
2023-01-25,18769
2023-01-26,41333
2023-01-27,20433
2023-01-30,23311
2023-01-31,23051
2023-02-01,24420
2023-02-02,35568
2023-02-03,38939
2023-02-06,37769
2023-02-07,24396
2023-02-08,26666
2023-02-09,36942
2023-02-10,36431
2023-02-13,20747
2023-02-14,18189
2023-02-15,37118
2023-02-16,21005
2023-02-17,39042
2023-02-20,19899
2023-02-21,19267
2023-02-22,35912
2023-02-23,29394
2023-02-24,21556
2023-02-27,21890
2023-02-28,26838
2023-03-01,32502
2023-03-02,39777
2023-03-03,28627
2023-03-06,26792
2023-03-07,28555
2023-03-08,28253
2023-03-09,26433
2023-03-10,28233
2023-03-13,29016
2023-03-14,41897
2023-03-15,20612
2023-03-16,41425
2023-03-17,40619
2023-03-20,39870
2023-03-21,41483
2023-03-22,33787
2023-03-23,35159
2023-03-24,30206
2023-03-27,26226
2023-03-28,32541
2023-03-29,21152
2023-03-30,19585
2023-03-31,21943
2023-04-03,41939
2023-04-04,37457
2023-04-05,19021
2023-04-06,29653
2023-04-07,28805
2023-04-10,31417
2023-04-11,38227
2023-04-12,25989
2023-04-13,27692
2023-04-14,30990
2023-04-17,24873
2023-04-18,23675
2023-04-19,18161
2023-04-20,22297
2023-04-21,18995
2023-04-24,29534
2023-04-25,25629
2023-04-26,19016
2023-04-27,40823
2023-04-28,41247
2023-05-01,26529
2023-05-02,35262
2023-05-03,27268
2023-05-04,39271
2023-05-05,30185
2023-05-08,39243
2023-05-09,24331
2023-05-10,26571
2023-05-11,25208
2023-05-12,23276
2023-05-15,36446
2023-05-16,34448
2023-05-17,34216
2023-05-18,26006
2023-05-19,20568
2023-05-22,39847
2023-05-23,20027
2023-05-24,20695
2023-05-25,33422
2023-05-26,23258
2023-05-29,40002
2023-05-30,24736
2023-05-31,18391
2023-06-01,31986
2023-06-02,30666
2023-06-05,23892
2023-06-06,21561
2023-06-07,24184
2023-06-08,37483
2023-06-09,40662
2023-06-12,26392
2023-06-13,31067
2023-06-14,33265
2023-06-15,37488
2023-06-16,41599
2023-06-19,20454
2023-06-20,29837
2023-06-21,32039
2023-06-22,37115
2023-06-23,28965
2023-06-26,27762
2023-06-27,23056
2023-06-28,32948
2023-06-29,26110
2023-06-30,31773
2023-07-03,38224
2023-07-04,35412
2023-07-05,41769
2023-07-06,18502
2023-07-07,24910
2023-07-10,30685
2023-07-11,41322
2023-07-12,38872
2023-07-13,18206
2023-07-14,39518
2023-07-17,40361
2023-07-18,41419
2023-07-19,35868
2023-07-20,33934
2023-07-21,35247
2023-07-24,37174
2023-07-25,41792
2023-07-26,26755
2023-07-27,39500
2023-07-28,30383
2023-07-31,40403
2023-08-01,36141
2023-08-02,32820
2023-08-03,25574
2023-08-04,24374
2023-08-07,41276
2023-08-08,19678
2023-08-09,37626
2023-08-10,39020
2023-08-11,19059
2023-08-14,41052
2023-08-15,34198
2023-08-16,27914
2023-08-17,37541
2023-08-18,40299
2023-08-21,28817
2023-08-22,28921
2023-08-23,27789
2023-08-24,34312
2023-08-25,29252
